"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","INDPROD","MFG","IDX2015","A","2010",89.72556,
"AUT","INDPROD","MFG","IDX2015","A","2011",95.70079,
"AUT","INDPROD","MFG","IDX2015","A","2012",95.7681,
"AUT","INDPROD","MFG","IDX2015","A","2013",96.57576,
"AUT","INDPROD","MFG","IDX2015","A","2014",97.67508,
"AUT","INDPROD","MFG","IDX2015","A","2015",100,
"AUT","INDPROD","MFG","IDX2015","A","2016",102.6086,
"AUT","INDPROD","MFG","IDX2015","A","2017",108.1173,
"BEL","INDPROD","MFG","IDX2015","A","2010",92.94167,
"BEL","INDPROD","MFG","IDX2015","A","2011",98.40833,
"BEL","INDPROD","MFG","IDX2015","A","2012",97.81667,
"BEL","INDPROD","MFG","IDX2015","A","2013",97.04166,
"BEL","INDPROD","MFG","IDX2015","A","2014",100.5417,
"BEL","INDPROD","MFG","IDX2015","A","2015",100,
"BEL","INDPROD","MFG","IDX2015","A","2016",102.6583,
"BEL","INDPROD","MFG","IDX2015","A","2017",105.5917,
"CAN","INDPROD","MFG","IDX2015","A","2010",92.33416,
"CAN","INDPROD","MFG","IDX2015","A","2011",95.53223,
"CAN","INDPROD","MFG","IDX2015","A","2012",96.78079,
"CAN","INDPROD","MFG","IDX2015","A","2013",96.38434,
"CAN","INDPROD","MFG","IDX2015","A","2014",99.32127,
"CAN","INDPROD","MFG","IDX2015","A","2015",100,
"CAN","INDPROD","MFG","IDX2015","A","2016",99.82556,
"CAN","INDPROD","MFG","IDX2015","A","2017",101.977,
"CZE","INDPROD","MFG","IDX2015","A","2010",82.56812,
"CZE","INDPROD","MFG","IDX2015","A","2011",88.80093,
"CZE","INDPROD","MFG","IDX2015","A","2012",88.18432,
"CZE","INDPROD","MFG","IDX2015","A","2013",88.8426,
"CZE","INDPROD","MFG","IDX2015","A","2014",94.76711,
"CZE","INDPROD","MFG","IDX2015","A","2015",100,
"CZE","INDPROD","MFG","IDX2015","A","2016",104.0663,
"CZE","INDPROD","MFG","IDX2015","A","2017",111.3074,
"DNK","INDPROD","MFG","IDX2015","A","2010",88.275,
"DNK","INDPROD","MFG","IDX2015","A","2011",92.15,
"DNK","INDPROD","MFG","IDX2015","A","2012",94.25,
"DNK","INDPROD","MFG","IDX2015","A","2013",96.025,
"DNK","INDPROD","MFG","IDX2015","A","2014",98.75833,
"DNK","INDPROD","MFG","IDX2015","A","2015",100,
"DNK","INDPROD","MFG","IDX2015","A","2016",105.3083,
"DNK","INDPROD","MFG","IDX2015","A","2017",108.3,
"FIN","INDPROD","MFG","IDX2015","A","2010",105.2583,
"FIN","INDPROD","MFG","IDX2015","A","2011",108.4333,
"FIN","INDPROD","MFG","IDX2015","A","2012",106.475,
"FIN","INDPROD","MFG","IDX2015","A","2013",102.4333,
"FIN","INDPROD","MFG","IDX2015","A","2014",100.9083,
"FIN","INDPROD","MFG","IDX2015","A","2015",100,
"FIN","INDPROD","MFG","IDX2015","A","2016",104.5,
"FIN","INDPROD","MFG","IDX2015","A","2017",108.5333,
"FRA","INDPROD","MFG","IDX2015","A","2010",99.27084,
"FRA","INDPROD","MFG","IDX2015","A","2011",102.7525,
"FRA","INDPROD","MFG","IDX2015","A","2012",99.44501,
"FRA","INDPROD","MFG","IDX2015","A","2013",98.81918,
"FRA","INDPROD","MFG","IDX2015","A","2014",98.53251,
"FRA","INDPROD","MFG","IDX2015","A","2015",100,
"FRA","INDPROD","MFG","IDX2015","A","2016",100.5142,
"FRA","INDPROD","MFG","IDX2015","A","2017",102.9383,
"DEU","INDPROD","MFG","IDX2015","A","2010",90.89924,
"DEU","INDPROD","MFG","IDX2015","A","2011",98.44987,
"DEU","INDPROD","MFG","IDX2015","A","2012",97.34978,
"DEU","INDPROD","MFG","IDX2015","A","2013",97.13309,
"DEU","INDPROD","MFG","IDX2015","A","2014",99.01659,
"DEU","INDPROD","MFG","IDX2015","A","2015",100,
"DEU","INDPROD","MFG","IDX2015","A","2016",101.4335,
"DEU","INDPROD","MFG","IDX2015","A","2017",104.3587,
"GRC","INDPROD","MFG","IDX2015","A","2010",111.2907,
"GRC","INDPROD","MFG","IDX2015","A","2011",101.1832,
"GRC","INDPROD","MFG","IDX2015","A","2012",97.61687,
"GRC","INDPROD","MFG","IDX2015","A","2013",96.55862,
"GRC","INDPROD","MFG","IDX2015","A","2014",98.25014,
"GRC","INDPROD","MFG","IDX2015","A","2015",100,
"GRC","INDPROD","MFG","IDX2015","A","2016",103.1914,
"GRC","INDPROD","MFG","IDX2015","A","2017",106.1912,
"HUN","INDPROD","MFG","IDX2015","A","2010",80.525,
"HUN","INDPROD","MFG","IDX2015","A","2011",85.4,
"HUN","INDPROD","MFG","IDX2015","A","2012",83.99167,
"HUN","INDPROD","MFG","IDX2015","A","2013",85.19167,
"HUN","INDPROD","MFG","IDX2015","A","2014",92.61667,
"HUN","INDPROD","MFG","IDX2015","A","2015",100,
"HUN","INDPROD","MFG","IDX2015","A","2016",101.425,
"HUN","INDPROD","MFG","IDX2015","A","2017",106.075,
"ISL","INDPROD","MFG","IDX2015","A","2010",80.41565,"E"
"ISL","INDPROD","MFG","IDX2015","A","2011",90.15668,
"ISL","INDPROD","MFG","IDX2015","A","2012",94.18347,
"ISL","INDPROD","MFG","IDX2015","A","2013",90.39614,
"ISL","INDPROD","MFG","IDX2015","A","2014",91.3866,
"ISL","INDPROD","MFG","IDX2015","A","2015",100,
"ISL","INDPROD","MFG","IDX2015","A","2016",90.99091,
"ISL","INDPROD","MFG","IDX2015","A","2017",91.7965,"E"
"IRL","INDPROD","MFG","IDX2015","A","2010",60.31666,
"IRL","INDPROD","MFG","IDX2015","A","2011",60.382,
"IRL","INDPROD","MFG","IDX2015","A","2012",59.62805,
"IRL","INDPROD","MFG","IDX2015","A","2013",58.14526,
"IRL","INDPROD","MFG","IDX2015","A","2014",70.96255,
"IRL","INDPROD","MFG","IDX2015","A","2015",100,
"IRL","INDPROD","MFG","IDX2015","A","2016",101.7748,
"IRL","INDPROD","MFG","IDX2015","A","2017",99.05008,
"ITA","INDPROD","MFG","IDX2015","A","2010",107.8827,
"ITA","INDPROD","MFG","IDX2015","A","2011",108.6409,
"ITA","INDPROD","MFG","IDX2015","A","2012",101.6332,
"ITA","INDPROD","MFG","IDX2015","A","2013",98.70011,
"ITA","INDPROD","MFG","IDX2015","A","2014",98.17516,
"ITA","INDPROD","MFG","IDX2015","A","2015",100,
"ITA","INDPROD","MFG","IDX2015","A","2016",101.5332,
"ITA","INDPROD","MFG","IDX2015","A","2017",104.8329,
"JPN","INDPROD","MFG","IDX2015","A","2010",102.2768,
"JPN","INDPROD","MFG","IDX2015","A","2011",99.39573,
"JPN","INDPROD","MFG","IDX2015","A","2013",99.21673,
"JPN","INDPROD","MFG","IDX2015","A","2014",101.1332,
"JPN","INDPROD","MFG","IDX2015","A","2015",100,
"JPN","INDPROD","MFG","IDX2015","A","2016",99.99167,
"JPN","INDPROD","MFG","IDX2015","A","2017",103.0747,
"KOR","INDPROD","MFG","IDX2015","A","2010",92.4215,
"KOR","INDPROD","MFG","IDX2015","A","2011",98.00525,
"KOR","INDPROD","MFG","IDX2015","A","2012",99.35308,
"KOR","INDPROD","MFG","IDX2015","A","2013",100.0307,
"KOR","INDPROD","MFG","IDX2015","A","2014",100.2542,
"KOR","INDPROD","MFG","IDX2015","A","2015",100,
"KOR","INDPROD","MFG","IDX2015","A","2016",102.3,
"KOR","INDPROD","MFG","IDX2015","A","2017",104.6667,
"LUX","INDPROD","MFG","IDX2015","A","2010",99.50838,
"LUX","INDPROD","MFG","IDX2015","A","2011",101.8165,
"LUX","INDPROD","MFG","IDX2015","A","2012",96.65028,
"LUX","INDPROD","MFG","IDX2015","A","2013",94.19215,
"LUX","INDPROD","MFG","IDX2015","A","2014",98.48346,
"LUX","INDPROD","MFG","IDX2015","A","2015",100,
"LUX","INDPROD","MFG","IDX2015","A","2016",99.85001,
"LUX","INDPROD","MFG","IDX2015","A","2017",102.8164,
"MEX","INDPROD","MFG","IDX2015","A","2010",86.64938,"P"
"MEX","INDPROD","MFG","IDX2015","A","2011",89.38861,"P"
"MEX","INDPROD","MFG","IDX2015","A","2012",92.91037,"P"
"MEX","INDPROD","MFG","IDX2015","A","2013",93.39861,"P"
"MEX","INDPROD","MFG","IDX2015","A","2014",97.14741,"P"
"MEX","INDPROD","MFG","IDX2015","A","2015",100,"P"
"MEX","INDPROD","MFG","IDX2015","A","2016",101.5523,"P"
"MEX","INDPROD","MFG","IDX2015","A","2017",104.3798,"P"
"NLD","INDPROD","MFG","IDX2015","A","2010",96.92551,
"NLD","INDPROD","MFG","IDX2015","A","2011",100.125,
"NLD","INDPROD","MFG","IDX2015","A","2012",99.40843,
"NLD","INDPROD","MFG","IDX2015","A","2013",98.35027,
"NLD","INDPROD","MFG","IDX2015","A","2014",99.39177,
"NLD","INDPROD","MFG","IDX2015","A","2015",100,
"NLD","INDPROD","MFG","IDX2015","A","2016",102.9495,
"NLD","INDPROD","MFG","IDX2015","A","2017",106.3073,
"NZL","INDPROD","MFG","IDX2015","A","2010",95.37012,
"NZL","INDPROD","MFG","IDX2015","A","2011",94.08595,
"NZL","INDPROD","MFG","IDX2015","A","2012",95.25271,
"NZL","INDPROD","MFG","IDX2015","A","2013",96.02503,
"NZL","INDPROD","MFG","IDX2015","A","2014",98.21248,
"NZL","INDPROD","MFG","IDX2015","A","2015",100,
"NZL","INDPROD","MFG","IDX2015","A","2016",103.0652,
"NZL","INDPROD","MFG","IDX2015","A","2017",105.0053,
"NOR","INDPROD","MFG","IDX2015","A","2010",93.24847,
"NOR","INDPROD","MFG","IDX2015","A","2011",94.57767,
"NOR","INDPROD","MFG","IDX2015","A","2012",96.67346,
"NOR","INDPROD","MFG","IDX2015","A","2013",99.79605,
"NOR","INDPROD","MFG","IDX2015","A","2014",103.1999,
"NOR","INDPROD","MFG","IDX2015","A","2015",100,
"NOR","INDPROD","MFG","IDX2015","A","2016",95.43568,
